Date,Grid_load,Grid_load_incl._hydro_pumped_storage,Hydro_pumped_storage,Residual_load
2015-01-01,1.0968528e+06,1.1227482e+06,25895.5,768472.25
2015-01-02,1.2889148e+06,1.3161398e+06,27225.0,679205.75
2015-01-03,1.2133095e+06,1.2380038e+06,24694.25,736911.75
2015-01-04,1.177896e+06,1.2023378e+06,24441.75,767345.5
2015-01-05,1.4259275e+06,1.4516608e+06,25733.25,1.1720362e+06
2015-01-06,1.434875e+06,1.4571678e+06,22292.75,1.2923932e+06
2015-01-07,1.548897e+06,1.5638605e+06,14963.5,1.31049e+06
2015-01-08,1.5734485e+06,1.594302e+06,20853.5,1.1319852e+06
2015-01-09,1.5517955e+06,1.5702882e+06,18492.75,900819.75
2015-01-10,1.3301215e+06,1.3520372e+06,21915.75,679079.25
2015-01-11,1.2453155e+06,1.2690802e+06,23764.75,595527.5
2015-01-12,1.572223e+06,1.59465e+06,22427.0,927555.25
2015-01-13,1.5577942e+06,1.5746532e+06,16859.0,989571.0
2015-01-14,1.5542542e+06,1.5755712e+06,21317.0,1.127128e+06
2015-01-15,1.5808288e+06,1.6044498e+06,23621.0,1.01465375e+06
2015-01-16,1.5340688e+06,1.5528315e+06,18762.75,1.2437962e+06
2015-01-17,1.3290008e+06,1.3508032e+06,21802.5,1.1733438e+06
2015-01-18,1.2431088e+06,1.2659205e+06,22811.75,1.0803462e+06
2015-01-19,1.559946e+06,1.5765488e+06,16602.75,1.5029042e+06
2015-01-20,1.5954715e+06,1.6145188e+06,19047.25,1.567507e+06
2015-01-21,1.5943718e+06,1.6151738e+06,20802.0,1.5246922e+06
2015-01-22,1.605934e+06,1.626908e+06,20974.0,1.5295025e+06
2015-01-23,1.580198e+06,1.600035e+06,19837.0,1.537337e+06
2015-01-24,1.3918485e+06,1.4112242e+06,19375.75,1.2282148e+06
2015-01-25,1.2650558e+06,1.2830782e+06,18022.5,1.1372108e+06
2015-01-26,1.581008e+06,1.5973658e+06,16357.75,1.3511338e+06
2015-01-27,1.5922472e+06,1.6104298e+06,18182.5,1.2969788e+06
2015-01-28,1.6134108e+06,1.6318355e+06,18424.75,1.1709975e+06
2015-01-29,1.5965852e+06,1.619049e+06,22463.75,1.1519695e+06
2015-01-30,1.5628492e+06,1.5845895e+06,21740.25,1.4590302e+06
2015-01-31,1.3451322e+06,1.3618738e+06,16741.5,1.1916308e+06
2015-02-01,1.250357e+06,1.2705708e+06,20213.75,1.1056088e+06
2015-02-02,1.592531e+06,1.6092088e+06,16677.75,1.37431e+06
2015-02-03,1.6209165e+06,1.6392378e+06,18321.25,1.491976e+06
2015-02-04,1.6263162e+06,1.6429862e+06,16670.0,1.5527322e+06
2015-02-05,1.6235232e+06,1.639476e+06,15952.75,1.4759545e+06
2015-02-06,1.597303e+06,1.6143425e+06,17039.5,1.3764212e+06
