Date,Biomass,Hydropower,Wind_offshore,Wind_onshore,Photovoltaics,Other_renewable,Nuclear,Lignite,Hard_coal,Fossil_gas,Hydro_pumped_storage,Other_conventional
2015-01-01,96341.25,27463.0,12508.5,298791.75,17080.25,2148.5,251485.25,314599.0,60725.25,23806.0,23683.5,134117.0
2015-01-02,96247.25,27087.75,10329.25,591620.75,7759.0,2904.0,218435.5,257344.0,83617.25,29919.25,25524.75,148762.0
2015-01-03,95923.75,31135.75,12119.5,457043.5,7234.75,3245.0,245251.5,296727.5,60999.25,29790.75,26328.75,139297.0
2015-01-04,96885.0,42212.25,11538.5,379029.5,19982.5,3247.0,251627.75,287900.5,47224.5,21470.75,26499.25,132493.75
2015-01-05,96449.0,38092.5,7745.5,219623.5,26522.25,3217.75,267081.0,405171.25,177046.75,35151.75,25738.5,207876.0
2015-01-06,94510.5,36153.0,6887.75,102706.75,32887.25,3246.25,273756.0,423603.75,259151.75,42873.25,19500.75,217470.5
2015-01-07,95730.5,35462.5,10693.25,210599.0,17114.75,3265.5,274628.5,432580.25,259317.75,56351.25,26789.75,225419.5
2015-01-08,95878.75,35839.25,12334.75,420530.25,8598.25,3004.0,272119.25,398987.0,223824.0,38659.5,30748.25,189578.0
2015-01-09,97246.5,36483.5,8800.25,635351.75,6823.75,2994.25,265038.0,332049.25,120109.25,39516.0,32508.75,153610.25
2015-01-10,97423.5,44021.25,6504.75,624062.5,20475.0,3190.75,260759.5,220411.25,46806.25,21427.5,27274.75,139439.5
2015-01-11,97019.5,43132.75,9552.25,620424.5,19811.25,3252.5,245074.0,184685.5,39772.0,18218.0,21749.25,137690.25
2015-01-12,97835.25,41993.0,11670.5,621972.25,11025.0,3156.75,260996.0,319847.75,116508.5,33819.75,25220.0,24344.0
2015-01-13,97231.0,40001.25,8940.75,508998.75,50283.75,2135.5,266823.25,349167.75,165980.25,37937.5,27453.0,23065.25
2015-01-14,96694.0,39135.0,8974.5,400045.75,18106.0,3017.0,269735.5,397912.0,217210.0,35094.5,28666.5,24753.0
2015-01-15,97259.75,39645.75,12271.25,536748.75,17155.0,3321.25,264059.0,380706.75,174614.5,36535.5,29153.0,145820.0
2015-01-16,96885.25,39171.25,10403.25,257051.5,22817.75,3271.0,268893.0,413406.75,241881.5,36610.25,28506.75,200534.25
2015-01-17,97477.75,39532.75,11518.5,122733.0,21405.5,3225.5,270262.0,430839.75,229075.0,30315.25,27817.75,162602.5
2015-01-18,97890.5,38584.5,5238.5,126265.0,31259.0,3364.5,265666.5,424949.75,203581.75,35578.0,24383.75,151311.75
2015-01-19,97017.5,39067.75,481.25,32878.5,23682.0,3308.5,273062.25,454009.25,276538.5,79073.75,29304.0,241982.0
2015-01-20,97555.75,41197.25,1281.75,15892.0,10790.75,3259.5,273777.25,469374.75,287675.25,93643.75,35436.0,258606.25
2015-01-21,97672.0,42070.0,2322.25,45236.5,22120.75,3344.75,273968.75,455153.75,299765.0,92048.5,29634.5,251168.5
2015-01-22,97424.75,40761.5,1289.0,63024.5,12118.0,3343.75,274210.5,440998.5,320655.5,87350.5,36052.0,246308.75
2015-01-23,96673.75,39414.0,4399.0,31449.0,7013.0,3329.75,274205.25,443102.25,330013.25,73693.25,35249.5,235487.5
2015-01-24,96977.0,36880.75,11741.25,142059.0,9833.5,3314.5,272426.75,440764.25,254449.0,38135.25,23025.0,167761.5
2015-01-25,97662.75,33328.75,8604.25,107670.75,11570.0,3198.25,267070.25,430662.25,224340.25,34158.75,23280.75,162787.0
2015-01-26,98079.5,33015.25,14427.25,204852.0,10595.0,3306.25,272757.0,416757.0,304283.5,57466.5,29058.25,234396.75
2015-01-27,98047.25,34890.0,11132.25,266563.75,17572.5,3150.75,272870.25,394732.5,293353.0,50365.25,26024.5,240059.0
