Date,Biomass,Hydropower,Wind_offshore,Wind_onshore,Photovoltaics,Other_renewable,Nuclear,Lignite,Hard_coal,Fossil_gas,Hydro_pumped_storage,Other_conventional,Total_renewable,Total_fossil,Wind_total,Total_generation,Renewable_share,Fossil_share,Clean_to_dirty_ratio,Solar_to_wind_ratio,Baseload_dependency,Year,Month,Day,Quarter,Wind_total_rolling,Solar_rolling
2015-01-01,96341.25,27463.0,12508.5,298791.75,17080.25,2148.5,251485.25,314599.0,60725.25,23806.0,23683.5,134117.0,454333.25,533247.25,311300.25,1262749.25,35.97968876243641,42.22906883532103,0.852012363870606,0.05486744710291752,49.638477314478706,2015,1,1,1,311300.25,17080.25
2015-01-02,96247.25,27087.75,10329.25,591620.75,7759.0,2904.0,218435.5,257344.0,83617.25,29919.25,25524.75,148762.0,735948.0,519642.5,601950.0,1499550.75,49.077898830699795,34.653211970318445,1.4162582929610261,0.012889774898247363,37.30428930131241,2015,1,2,1,456625.125,12419.625
2015-01-03,95923.75,31135.75,12119.5,457043.5,7234.75,3245.0,245251.5,296727.5,60999.25,29790.75,26328.75,139297.0,606702.25,526814.5,469163.0,1405097.0,43.178673785510895,37.49310545819968,1.1516430356415779,0.01542054680356294,42.91363870252374,2015,1,3,1,460804.4166666667,10691.333333333334
2015-01-04,96885.0,42212.25,11538.5,379029.5,19982.5,3247.0,251627.75,287900.5,47224.5,21470.75,26499.25,132493.75,552894.75,489089.5,390568.0,1320111.25,41.88243604468941,37.049112338069996,1.1304572067075658,0.05116266565617255,44.44721988393024,2015,1,4,1,443245.3125,13014.125
2015-01-05,96449.0,38092.5,7745.5,219623.5,26522.25,3217.75,267081.0,405171.25,177046.75,35151.75,25738.5,207876.0,391650.5,825245.75,227369.0,1509715.75,25.94200265844746,54.66232633527205,0.47458650953367526,0.11664848770061002,56.25555671655409,2015,1,5,1,400070.05,15715.75
2015-01-06,94510.5,36153.0,6887.75,102706.75,32887.25,3246.25,273756.0,423603.75,259151.75,42873.25,19500.75,217470.5,276391.5,943099.25,109594.5,1512747.5,18.270828409896563,62.343467763126355,0.29306724610373724,0.30008120845480385,63.230083011209736,2015,1,6,1,351657.4583333333,18577.666666666668
2015-01-07,95730.5,35462.5,10693.25,210599.0,17114.75,3265.5,274628.5,432580.25,259317.75,56351.25,26789.75,225419.5,372865.5,973668.75,221292.25,1647952.5,22.62598588248144,59.08354458032012,0.38294902655548924,0.0773400333721583,58.65014313215945,2015,1,7,1,333033.85714285716,18368.678571428572
2015-01-08,95878.75,35839.25,12334.75,420530.25,8598.25,3004.0,272119.25,398987.0,223824.0,38659.5,30748.25,189578.0,576185.25,851048.5,432865.0,1730101.25,33.30355665600496,49.190675979223755,0.6770298637504208,0.01986358333429591,51.7270448767088,2015,1,8,1,345512.75,17147.375
2015-01-09,97246.5,36483.5,8800.25,635351.75,6823.75,2994.25,265038.0,332049.25,120109.25,39516.0,32508.75,153610.25,787700.0,645284.75,644152.0,1730531.5,45.517807679317016,37.288240635897125,1.2207014035276675,0.010593384791167303,41.44371252415804,2015,1,9,1,378694.8888888889,16000.305555555555
2015-01-10,97423.5,44021.25,6504.75,624062.5,20475.0,3190.75,260759.5,220411.25,46806.25,21427.5,27274.75,139439.5,795677.75,428084.5,630567.25,1511796.5,52.631273455124415,28.3162780175771,1.8586932019262552,0.03247076342769149,34.923814150912506,2015,1,10,1,403882.125,16447.775
2015-01-11,97019.5,43132.75,9552.25,620424.5,19811.25,3252.5,245074.0,184685.5,39772.0,18218.0,21749.25,137690.25,793192.75,380365.75,629976.75,1440381.75,55.06823104361048,26.407287512494516,2.0853422002375344,0.03144758913721816,32.59771237729164,2015,1,11,1,424436.1818181818,16753.545454545456
2015-01-12,97835.25,41993.0,11670.5,621972.25,11025.0,3156.75,260996.0,319847.75,116508.5,33819.75,25220.0,24344.0,787652.75,494520.0,633642.75,1568388.75,50.22050496090335,31.530448047398963,1.5927621734206907,0.017399394217009506,44.4629719513099,2015,1,12,1,441870.0625,16276.166666666666
