Date,Biomass,Hydropower,Wind_offshore,Wind_onshore,Photovoltaics,Other_renewable,Nuclear,Lignite,Hard_coal,Fossil_gas,Hydro_pumped_generation,Other_conventional,Grid_load,Grid_load_incl._hydro_pumped_storage,Hydro_pumped_storage,Residual_load,Total_generation,Renewables_total,Renewables_share,Residual_load_ratio,Fossil_total,Net_balance
2015-01-01,96341.25,27463.0,12508.5,298791.75,17080.25,2148.5,251485.25,314599.0,60725.25,23806.0,23683.5,134117.0,1096852.8,1122748.2,25895.5,768472.25,1262749.25,454333.25,0.35979688762436407,0.700615661463416,533247.25,165896.44999999995
2015-01-02,96247.25,27087.75,10329.25,591620.75,7759.0,2904.0,218435.5,257344.0,83617.25,29919.25,25524.75,148762.0,1288914.8,1316139.8,27225.0,679205.75,1499550.75,735948.0,0.49077898830699795,0.5269593847475411,519642.5,210635.94999999995
2015-01-03,95923.75,31135.75,12119.5,457043.5,7234.75,3245.0,245251.5,296727.5,60999.25,29790.75,26328.75,139297.0,1213309.5,1238003.8,24694.25,736911.75,1405097.0,606702.25,0.43178673785510896,0.607356779123546,526814.5,191787.5
2015-01-04,96885.0,42212.25,11538.5,379029.5,19982.5,3247.0,251627.75,287900.5,47224.5,21470.75,26499.25,132493.75,1177896.0,1202337.8,24441.75,767345.5,1320111.25,552894.75,0.41882436044689414,0.6514543728818164,489089.5,142215.25
2015-01-05,96449.0,38092.5,7745.5,219623.5,26522.25,3217.75,267081.0,405171.25,177046.75,35151.75,25738.5,207876.0,1425927.5,1451660.8,25733.25,1172036.2,1509715.75,391650.5,0.2594200265844746,0.8219465575914624,825245.75,83788.25
2015-01-06,94510.5,36153.0,6887.75,102706.75,32887.25,3246.25,273756.0,423603.75,259151.75,42873.25,19500.75,217470.5,1434875.0,1457167.8,22292.75,1292393.2,1512747.5,276391.5,0.1827082840989656,0.9007008972907047,943099.25,77872.5
2015-01-07,95730.5,35462.5,10693.25,210599.0,17114.75,3265.5,274628.5,432580.25,259317.75,56351.25,26789.75,225419.5,1548897.0,1563860.5,14963.5,1310490.0,1647952.5,372865.5,0.22625985882481442,0.8460795004445099,973668.75,99055.5
2015-01-08,95878.75,35839.25,12334.75,420530.25,8598.25,3004.0,272119.25,398987.0,223824.0,38659.5,30748.25,189578.0,1573448.5,1594302.0,20853.5,1131985.2,1730101.25,576185.25,0.33303556656004957,0.7194294570175,851048.5,156652.75
2015-01-09,97246.5,36483.5,8800.25,635351.75,6823.75,2994.25,265038.0,332049.25,120109.25,39516.0,32508.75,153610.25,1551795.5,1570288.2,18492.75,900819.75,1730531.5,787700.0,0.4551780767931702,0.5805015867103623,645284.75,178736.0
2015-01-10,97423.5,44021.25,6504.75,624062.5,20475.0,3190.75,260759.5,220411.25,46806.25,21427.5,27274.75,139439.5,1330121.5,1352037.2,21915.75,679079.25,1511796.5,795677.75,0.5263127345512442,0.5105392627665969,428084.5,181675.0
